l1,subject,list,context,mat_verb,wh,emb_verb,response
,10540,olive,maf,know,where,find,0
,11434,olive,maf,know,where,find,0
,10261,olive,maf,know,where,find,0
,11383,olive,maf,know,where,find,0
EN,11005,olive,maf,know,where,find,0
,10417,olive,maf,know,where,find,0
,3229,olive,maf,know,where,find,1
EN,10969,olive,maf,know,where,find,0
,10753,olive,maf,know,where,find,0
EN,10921,olive,maf,know,where,find,0
,10945,olive,maf,know,where,find,0
,11098,olive,maf,know,where,find,0
EN,10051,olive,maf,know,where,find,0
EN,10063,olive,maf,know,where,find,0
EN,11014,olive,maf,know,where,find,0
,11275,olive,maf,know,where,find,0
EN,10660,olive,maf,know,where,find,0
EN,10933,olive,maf,know,where,find,0
EN,11518,olive,maf,know,where,find,0
EN,10570,olive,maf,know,where,find,0
EN,11068,olive,maf,know,where,find,0
EN,10987,olive,maf,know,where,find,0
EN,10297,olive,maf,know,where,find,0
EN,10960,olive,maf,know,where,find,0
EN,10078,olive,maf,know,where,find,0
EN,10402,olive,maf,know,where,find,0
,10540,olive,maf,know,where,hide,0
,11434,olive,maf,know,where,hide,0
,10261,olive,maf,know,where,hide,0
,11383,olive,maf,know,where,hide,0
EN,11005,olive,maf,know,where,hide,0
,10417,olive,maf,know,where,hide,0
,3229,olive,maf,know,where,hide,0
EN,10969,olive,maf,know,where,hide,0
,10753,olive,maf,know,where,hide,0
EN,10921,olive,maf,know,where,hide,0
,10945,olive,maf,know,where,hide,0
,11098,olive,maf,know,where,hide,0
EN,10051,olive,maf,know,where,hide,0
EN,10063,olive,maf,know,where,hide,0
EN,11014,olive,maf,know,where,hide,0
,11275,olive,maf,know,where,hide,0
EN,10660,olive,maf,know,where,hide,0
EN,10933,olive,maf,know,where,hide,0
EN,11518,olive,maf,know,where,hide,0
EN,10570,olive,maf,know,where,hide,0
EN,11068,olive,maf,know,where,hide,0
EN,10987,olive,maf,know,where,hide,0
EN,10297,olive,maf,know,where,hide,0
EN,10960,olive,maf,know,where,hide,0
EN,10078,olive,maf,know,where,hide,0
EN,10402,olive,maf,know,where,hide,0
,11410,magenta,maf,know,where,store,0
EN,10495,magenta,maf,know,where,store,0
EN,10327,magenta,maf,know,where,store,0
EN,10762,magenta,maf,know,where,store,1
EN,11101,magenta,maf,know,where,store,0
,11299,magenta,maf,know,where,store,0
EN,11821,magenta,maf,know,where,store,0
,11290,magenta,maf,know,where,store,0
,11254,magenta,maf,know,where,store,0
,11491,magenta,maf,know,where,store,0
EN,10942,magenta,maf,know,where,store,0
